ds,unique_id,y
2022-01-01,CA_1,3
2022-01-01,CA_2,0
2022-01-01,CA_3,7
2022-01-01,CA_4,0
2022-01-01,TX_1,0
2022-01-01,TX_2,1
2022-01-01,TX_3,1
2022-01-01,WI_1,1
2022-01-01,WI_2,0
2022-01-01,WI_3,3
2022-01-02,CA_1,2
2022-01-02,CA_2,0
2022-01-02,CA_3,3
2022-01-02,CA_4,0
2022-01-02,TX_1,0
2022-01-02,TX_2,1
2022-01-02,TX_3,0
2022-01-02,WI_1,1
2022-01-02,WI_2,0
2022-01-02,WI_3,1
2022-01-03,CA_1,4
2022-01-03,CA_2,3
2022-01-03,CA_3,4
2022-01-03,CA_4,4
2022-01-03,TX_1,1
2022-01-03,TX_2,2
2022-01-03,TX_3,1
2022-01-03,WI_1,3
2022-01-03,WI_2,0
2022-01-03,WI_3,2
2022-01-04,CA_1,1
2022-01-04,CA_2,0
2022-01-04,CA_3,5
2022-01-04,CA_4,1
2022-01-04,TX_1,2
2022-01-04,TX_2,0
2022-01-04,TX_3,2
2022-01-04,WI_1,6
2022-01-04,WI_2,2
2022-01-04,WI_3,8
2022-01-05,CA_1,0
2022-01-05,CA_2,3
2022-01-05,CA_3,1
2022-01-05,CA_4,4
2022-01-05,TX_1,1
2022-01-05,TX_2,0
2022-01-05,TX_3,0
2022-01-05,WI_1,6
2022-01-05,WI_2,2
2022-01-05,WI_3,6
2022-01-06,CA_1,0
2022-01-06,CA_2,7
2022-01-06,CA_3,2
2022-01-06,CA_4,3
2022-01-06,TX_1,1
2022-01-06,TX_2,0
2022-01-06,TX_3,1
2022-01-06,WI_1,0
2022-01-06,WI_2,2
2022-01-06,WI_3,4
2022-01-07,CA_1,0
2022-01-07,CA_2,1
2022-01-07,CA_3,9
2022-01-07,CA_4,0
2022-01-07,TX_1,1
2022-01-07,TX_2,0
2022-01-07,TX_3,0
2022-01-07,WI_1,3
2022-01-07,WI_2,0
2022-01-07,WI_3,2
2022-01-08,CA_1,0
2022-01-08,CA_2,0
2022-01-08,CA_3,7
2022-01-08,CA_4,0
2022-01-08,TX_1,1
2022-01-08,TX_2,0
2022-01-08,TX_3,1
2022-01-08,WI_1,6
2022-01-08,WI_2,6
2022-01-08,WI_3,3
2022-01-09,CA_1,5
2022-01-09,CA_2,4
2022-01-09,CA_3,4
2022-01-09,CA_4,2
2022-01-09,TX_1,1
2022-01-09,TX_2,0
2022-01-09,TX_3,4
2022-01-09,WI_1,6
2022-01-09,WI_2,0
2022-01-09,WI_3,3
2022-01-10,CA_1,6
2022-01-10,CA_2,1
2022-01-10,CA_3,4
2022-01-10,CA_4,0
2022-01-10,TX_1,0
2022-01-10,TX_2,0
2022-01-10,TX_3,2
2022-01-10,WI_1,9
2022-01-10,WI_2,0
2022-01-10,WI_3,3
2022-01-11,CA_1,0
2022-01-11,CA_2,1
2022-01-11,CA_3,2
2022-01-11,CA_4,0
2022-01-11,TX_1,0
2022-01-11,TX_2,0
2022-01-11,TX_3,2
2022-01-11,WI_1,0
2022-01-11,WI_2,0
2022-01-11,WI_3,3
2022-01-12,CA_1,0
2022-01-12,CA_2,5
2022-01-12,CA_3,2
2022-01-12,CA_4,0
2022-01-12,TX_1,0
2022-01-12,TX_2,0
2022-01-12,TX_3,0
2022-01-12,WI_1,5
2022-01-12,WI_2,1
2022-01-12,WI_3,2
2022-01-13,CA_1,0
2022-01-13,CA_2,4
2022-01-13,CA_3,6
2022-01-13,CA_4,0
2022-01-13,TX_1,0
2022-01-13,TX_2,1
